CGMP;Nome;Longitude;Latitude
6001;Posto Shell Ramal;-46.7291030883789;-23.517406463623
6002;Posto Shell Orion;-46.7429046630859;-23.5540809631348
6005;Posto Shell Atlantica;-46.6590309143066;-23.5322437286377
6006;Posto Shell Agua Espraiada;-46.6751365661621;-23.6274013519287
6007;Posto Shell Abraao de Morais;-46.6286468505859;-23.6248607635498
6008;Posto Shell Rimacris;-46.8314971923828;-23.502462387085
6009;Posto Shell Hawai;-46.6991539001465;-23.5147075653076
6010;Posto Shell Napoleão Barros;-46.6445655822754;-23.6013031005859
6011;Posto Shell Ralpha;-46.8520812988281;-23.4986171722412
6013;Posto Shell Estacao Carandiru;-46.6238632202148;-23.5063953399658
6014;Posto Shell Caetano Alvares;-46.6595993041992;-23.4939880371094
6015;Posto Shell Bristol;-46.5721817016602;-23.5573635101318
6016;Posto Shell Catalao;-46.6816825866699;-23.5458526611328
6017;Posto Shell Portal Leste;-46.6067504882813;-23.5507431030273
6018;Posto Shell Faga e Bizarria;-46.7232475280762;-23.5880374908447
6019;Posto Shell Fabio Motta Marques;-46.5551643371582;-23.5206413269043
6020;Posto Shell Alpha Marte;-46.8752288818359;-23.4628772735596
6021;Posto Shell Monte Carlo;-46.6637573242188;-23.609920501709
6023;Posto Shell ABV;-46.6991500854492;-23.6429328918457
6024;Posto Shell Tasca;-46.7725486755371;-23.5360507965088
6025;Posto Shell Batalha;-46.7307014465332;-23.5810241699219
6026;Posto Shell Cote D'azur;-46.57177734375;-23.5500621795654
6027;Posto Shell Status do Panamby;-46.7370223999023;-23.6387004852295
6028;Posto Shell Sao Gualter;-46.7114067077637;-23.5433807373047
6029;Posto Shell Rio Grande;-46.643253326416;-23.5868091583252
6030;Posto Shell Gigante da Imigrantes;-46.6274261474609;-23.6147918701172
6032;Posto Shell M.A;-46.5213775634766;-23.558614730835
6033;Posto Shell Elmar;-46.6428451538086;-23.639196395874
6034;Posto Shell Prime;-46.6381034851074;-23.6327781677246
6035;Posto Shell Mascote;-46.6663208007813;-23.6422157287598
6036;Posto Shell Mash;-46.6089935302734;-23.6160182952881
6037;Posto Shell Gipires;-46.6672859191895;-23.5069351196289
6038;Posto Shell Benets;-46.7093734741211;-23.5784912109375
6040;Posto Shell Carlos Alberto Papacidero;-46.6718711853027;-23.5135536193848
6041;Posto Shell Marini;-46.6862487792969;-23.500638961792
6042;Posto Shell Jardim Sao Paulo;-46.6207656860352;-23.4869422912598
6043;Posto Shell Fukuya Kanemoto;-46.6851692199707;-23.5088939666748
6044;Posto Shell Galena;-46.6256828308105;-23.6030426025391
6045;Posto Shell Lutaif;-46.6113967895508;-23.4919681549072
6046;Posto Shell Bellagio;-46.673038482666;-23.4788932800293
6047;Posto Shell JJ;-46.6257209777832;-23.6047134399414
6048;Posto Shell Summer;-46.6913261413574;-23.6548633575439
6049;Posto Shell Francisco Morato;-46.7133750915527;-23.5827598571777
6050;Posto Shell BAP;-46.6597862243652;-23.6642379760742
6051;Posto Shell Independencia do cambuci;-46.6131935119629;-23.567626953125
6052;Posto Shell Ponto Solar;-46.6631736755371;-23.6466579437256
6053;Posto Shell Via Sul;-46.7422752380371;-23.615255355835
6054;Posto Shell Vera Cruz;-46.5227088928223;-23.531852722168
6056;Posto Shell Center Car;-46.7433967590332;-23.5537967681885
6057;Posto Shell Moinho Velho;-46.7459335327148;-23.5961627960205
6058;Posto Shell Bordo;-46.7320442199707;-23.5873508453369
6062;Posto Shell Asturias;-46.7205200195313;-23.6375293731689
6063;Posto Shell Macedo;-46.5136451721191;-23.4650726318359
6068;Posto Shell Kll;-46.4694976806641;-23.6839866638184
6070;Posto Shell Paraki;-46.6719665527344;-23.6218662261963
6071;Posto Shell Oitenta;-46.4588737487793;-23.6716213226318
6072;Posto Shell Tonicar;-46.6277465820313;-23.5918483734131
6073;Posto Shell Agua Funda 2;-46.6179084777832;-23.58518409729
6074;Posto Shell Kobayachi;-47.0349502563477;-23.6076793670654
6075;Posto Shell 45;-47.0223960876465;-23.6052093505859
6076;Posto Shell Nova Itapevi;-46.9398345947266;-23.5362434387207
6077;Posto Shell Nellu;-46.4653434753418;-23.6769142150879
6078;Posto Shell Star Red;-46.5755844116211;-23.7074661254883
6079;Posto Shell Agua funda 1;-46.6276817321777;-23.6077976226807
6080;Posto Shell Turismo;-46.6334075927734;-23.6838893890381
6082;Posto Shell Sao Joaquim;-46.5600967407227;-23.4559230804443
6083;Posto Shell Via 10;-46.6501388549805;-23.6689491271973
6084;Posto Shell 555;-46.569450378418;-23.4503555297852
6085;Posto Shell Alcantara;-46.7148284912109;-23.6966590881348
6086;Posto Shell Cinadis;-46.5525054931641;-23.7316913604736
6087;Posto Shell Tapera Grande;-46.4745941162109;-23.4514389038086
6088;Posto Shell Estonia 5;-46.5554084777832;-23.7472553253174
6091;Posto Shell Sergio Motta Marques;-46.4452171325684;-23.5583209991455
6092;Posto Shell Vielfe Martins;-46.4615097045898;-23.6250038146973
6093;Posto Shell Fernão dias;-46.5689010620117;-23.4688911437988
6094;Posto Shell Arco Verde;-46.4157791137695;-23.5643901824951
6095;Posto Shell Jaguare;-46.7271041870117;-23.5296573638916
6097;Posto Shell Saint Germain;-46.7867126464844;-23.5304069519043
6099;Posto Shell Jardim 10;-46.7300415039063;-23.6454639434814
6100;Posto Shell Ouro de barueri;-46.8803596496582;-23.4933052062988
6101;Posto Shell Estonia 2;-46.5112571716309;-23.651876449585
6102;Posto Shell Marina;-46.5507202148438;-23.6421012878418
6103;Posto Shell Tao Set;-46.5478363037109;-23.6499366760254
6104;Posto Shell Estonia;-46.5031547546387;-23.634147644043
6106;Posto Shell Caracas Oil;-46.8365173339844;-23.5552234649658
6107;Posto Shell ABD;-46.596019744873;-23.679594039917
6108;Posto Shell Hiperpetro;-46.5572395324707;-23.6267108917236
6109;Posto Shell Avenida dos estados;-46.5341606140137;-23.6381893157959
6110;Posto Shell Estonia 4;-46.5425605773926;-23.6376934051514
6111;Posto Shell Humaita;-46.5093231201172;-23.6643257141113
6112;Posto Shell Phenix;-46.6020278930664;-23.5852165222168
6113;Posto Shell Martinelli;-46.7088279724121;-23.5248012542725
6115;Posto Shell 2002;-46.7369117736816;-23.6261863708496
6116;Posto Shell Santa terezinha;-46.8546981811523;-23.5189304351807
6117;Posto Shell CPC;-46.8527717590332;-23.5181198120117
6118;Posto Shell Muraki;-46.3673706054688;-23.6827697753906
